1471914224 1 0 0 0 0 0
1471919548 1 0 0 0 1 0
1471920506 2 0 0 0 1 0
1471926915 2 0 0 0 1 1
1471930144 2 0 1 0 1 1
1471930382 3 0 1 0 1 1
1471931353 4 0 1 0 1 1
1471963998 4 0 2 0 1 1
1471964894 5 0 2 0 1 1
1471965726 6 0 2 0 1 1
1471985226 7 0 2 0 1 1
1472007253 7 0 3 0 1 1
1472013282 8 0 3 0 1 1
1472014691 9 0 3 0 1 1
1472016175 9 0 4 0 1 1
1472017276 9 0 4 0 2 1
1472020487 10 0 4 0 2 1
1472022705 10 0 5 0 2 1
1472028981 10 0 6 0 2 1
1472031125 10 0 9 0 2 1
1472051732 10 0 10 0 2 1
1472052317 10 0 11 0 2 1
1472057027 10 0 12 0 2 1
1472094359 11 0 12 0 2 1
1472094636 12 0 12 0 2 1
1472094777 13 0 12 0 2 1
1472094878 14 0 12 0 2 1
1472095024 15 0 12 0 2 1
1472100917 15 0 13 0 2 1
1472107037 16 0 13 0 2 1
1472112299 16 0 13 0 2 2
1472113293 17 0 13 0 2 2
1472116734 17 1 13 0 2 2
1472116838 17 2 13 0 2 2
1472117340 17 3 13 0 2 2
1472117538 17 4 13 0 2 2
1472119440 17 5 13 0 2 2
1472120719 17 6 13 0 2 2
1472121026 17 6 13 0 3 2
1472126298 17 7 13 0 3 2
1472126305 17 7 13 0 4 2
1472127559 18 7 13 0 4 2
1472127665 18 8 13 0 4 2
1472133910 18 9 13 0 4 2
1472134912 19 9 13 0 4 2
1472136522 19 9 13 1 4 2
1472137066 19 10 13 1 4 2
1472137119 19 10 13 2 4 2
1472137393 19 11 13 2 4 2
1472138364 20 11 13 2 4 2
1472138471 21 11 13 2 4 2
1472138739 22 11 13 2 4 2
1472140266 23 11 13 2 4 2
1472140591 24 11 13 2 4 2
1472140833 25 11 13 2 4 2
1472142229 25 11 13 3 4 2
1472142548 25 12 13 3 4 2
1472142792 26 12 13 3 4 2
1472143666 26 13 13 3 4 2
1472144413 26 14 13 3 4 2
1472150258 26 14 13 4 4 2
1472150470 26 14 13 5 4 2
1472152996 26 15 13 5 4 2
