1471830898 5 0 0 0 0
1471843795 78 0 0 0 0
1471845708 78 0 0 0 0
1471847566 78 0 0 0 0
1471847795 78 0 0 0 0
1471849060 78 0 0 0 0
1471851653 98 0 0 0 0
1471852386 101 0 0 0 0
1471864258 101 0 0 0 0
1471864625 189 0 0 0 0
1471865451 453 0 0 0 0
1471865680 8304 0 0 0 0
1471867075 162848 0 0 0 0
1471868730 202162 0 0 0 0
1471901374 202173 0 0 0 0
1471910805 202173 0 0 0 0
1471914008 202174 0 0 0 0
1471914229 202174 0 0 0 0
1471914619 202174 0 0 2 0
1471915721 202174 0 0 14 0
1471916487 202174 0 0 14 0
1471925083 202174 0 0 14 0
1471925488 202174 44 0 14 0
1471929426 202174 53 0 14 0
1471931228 202174 71 0 14 0
1471933254 202174 74 0 14 0
1471943443 202174 74 39 14 0
1471998339 202174 76 39 14 0
1471999715 202174 76 39 14 0
1472000430 202174 77 39 14 0
1472000577 202174 77 39 14 0
1472011835 202174 95 39 14 0
1472015189 202174 103 39 14 0
1472015471 202174 103 39 14 0
1472016899 209262 103 39 14 0
1472017033 209262 103 39 14 0
