1471913550 0 0 0 1 0 0 0 0 0
1471914528 0 0 1 1 0 0 0 0 0
1471914756 0 0 1 1 1 0 0 0 0
1471916031 0 0 1 1 1 0 0 1 0
1471916118 0 0 1 1 2 0 0 1 0
1471917186 0 0 2 1 2 0 0 2 0
1471917508 0 0 3 1 2 0 0 2 0
1471917722 0 0 4 1 2 0 0 2 0
1471918825 0 0 4 1 2 0 0 3 0
1471919597 0 0 4 1 2 0 1 3 0
1471920743 0 0 5 1 2 0 1 3 0
1471921230 0 0 5 1 2 0 1 4 0
1471921643 0 1 5 1 2 0 1 4 0
1471925596 1 1 5 1 2 0 1 4 0
1471927404 1 1 5 1 3 0 1 4 0
1471927500 2 1 5 1 3 0 1 4 0
1471928061 2 1 6 1 3 0 1 4 0
1471928331 3 1 6 1 3 0 1 4 0
1471928384 4 1 6 1 3 0 1 4 0
1471928856 4 1 7 1 3 0 1 4 0
1471929216 5 1 7 1 3 0 1 4 0
1471930333 5 1 8 1 3 0 1 4 0
1471930680 6 1 8 1 3 0 1 4 0
1471930801 7 1 8 1 3 0 1 4 0
1471931456 7 2 8 1 3 0 1 4 0
1471931478 8 2 8 1 3 0 1 4 0
1471931523 8 2 8 1 4 0 1 4 0
1471931775 8 3 8 1 4 0 1 4 0
1471931809 8 3 9 1 4 0 1 4 0
1471931833 9 3 9 1 4 0 1 4 0
1471932338 10 3 9 1 4 0 1 4 0
1471934158 10 3 9 1 5 0 2 4 0
1471934811 10 3 9 1 5 0 2 4 1
1471934923 10 3 10 1 5 0 2 4 1
1471935230 11 3 10 1 5 0 2 4 1
1471935384 11 3 10 1 5 1 2 4 1
1471935455 12 3 10 1 5 1 2 4 1
1471935608 13 3 10 1 5 1 2 4 1
1471935924 14 3 10 1 6 1 2 4 1
1471937149 14 4 10 1 6 1 2 4 1
1471944681 14 4 10 2 6 1 2 4 1
1471998293 15 4 10 2 6 1 2 4 1
1471998294 15 4 10 4 6 1 2 4 1
1471998443 16 4 10 4 6 1 2 4 1
1471998464 16 4 10 5 6 1 2 4 1
1471999168 16 5 10 5 6 1 2 4 1
1471999277 17 5 10 5 6 1 2 4 1
1471999875 17 6 10 5 6 1 2 4 1
1471999944 17 6 10 6 6 1 2 4 1
1472000319 17 7 10 6 6 1 2 4 1
1472000928 17 7 10 6 6 1 3 4 1
1472001127 17 8 10 6 6 1 3 4 1
1472001765 17 9 10 6 6 1 3 4 1
1472002396 17 9 10 6 6 2 3 4 1
1472002483 17 9 10 6 6 2 4 4 1
1472002708 17 9 10 6 6 3 4 4 1
1472003340 17 10 10 6 6 3 4 4 1
1472003959 17 10 10 7 6 3 4 4 1
1472004087 17 10 10 7 6 3 5 4 1
1472004438 17 11 10 7 6 3 5 4 1
1472005062 17 12 10 7 6 3 5 4 1
1472005350 17 12 10 7 6 4 5 4 1
1472005864 17 12 10 8 6 4 5 4 1
1472006256 17 13 10 8 6 4 5 4 1
1472006737 17 14 10 8 6 4 5 4 1
1472006896 17 15 10 8 6 4 5 4 1
1472010859 17 15 10 8 6 5 5 4 1
1472010879 17 15 10 8 6 6 5 4 1
