1471914528 0
1471916031 0
1471934811 195
1471935384 284
1472002396 412
1472002708 439
1472005350 473
1472010859 599
1472010879 958
1472012991 1000
1472014287 1083
1472014894 1185
1472019533 1196
1472092994 1197
1472093026 1197
1472093044 1254
1472093062 1278
1472093113 1357
1472093123 1392
1472094838 1392
1472099925 1393
1472106961 1400
1472106972 1401
1472106983 1457
1472106995 1533
1472109881 1543
1472173512 1545
1472173522 1543
1472173533 1543
1472173543 1536
1472173551 1534
1472173560 1534
1472173568 1537
1472177998 1547
