1471830675 1 0 0 0
1471848799 2 0 0 0
1471913941 2 0 0 1
1471917194 3 0 0 1
1471920416 3 0 1 1
1471921427 3 1 1 1
1471928167 3 2 1 1
1471929856 4 2 1 1
1471930097 4 2 1 2
1471931736 4 2 2 2
1471932854 4 2 3 2
1471934441 4 2 4 2
1471934681 5 2 4 2
1471935799 5 3 4 2
1471936013 6 3 4 2
1471936141 6 4 4 2
1471936610 7 4 4 2
1471936633 8 4 4 2
1471936665 9 4 4 2
1471936763 10 4 4 2
1471937135 11 4 4 2
1471937918 11 5 4 2
1471940490 11 6 4 2
1471941219 11 6 5 2
1471942213 11 6 6 2
1472004106 11 6 7 2
1472006221 11 7 7 2
1472006982 11 7 7 3
1472016981 11 7 8 3
1472018037 12 7 8 3
1472018128 12 7 9 3
1472018190 12 7 10 3
1472018210 13 7 10 3
1472018777 14 7 10 3
1472018938 15 7 10 3
1472019030 16 7 10 3
1472019363 16 8 10 3
1472019401 16 9 10 3
1472019687 17 9 10 3
1472021221 17 10 10 3
1472022241 17 10 10 4
1472023068 18 10 10 4
1472023561 19 10 10 4
1472089830 19 11 10 4
1472101029 19 12 10 4
1472103184 19 13 10 4
1472103740 20 13 10 4
1472104490 20 14 10 4
1472106679 20 14 10 5
1472108318 21 14 10 5
1472109514 21 15 10 5
1472109551 21 15 11 5
1472110004 22 15 11 5
1472110688 22 16 11 5
1472112045 22 16 12 5
1472112235 22 16 13 5
1472112276 23 16 13 5
1472113673 24 16 13 5
1472120382 24 17 13 5
1472121834 25 17 13 5
1472121852 26 17 13 5
1472122318 26 18 13 5
1472127222 26 19 13 5
1472127882 26 20 13 5
1472132068 26 21 13 5
1472133327 26 22 13 5
1472134025 26 23 13 5
1472135120 26 24 13 5
1472136466 26 25 13 5
1472174150 27 25 13 5
1472176504 28 25 13 5
1472176597 28 26 13 5
1472179213 29 26 13 5
1472179345 29 27 13 5
